title,release_date_clean,critic_score_scaled,audience_score_scaled
Breach,2007-02-16,8.4,6.7
The Deep End,2001-08-01,8.2,5.9
The Beguiled,2017-06-30,7.8,4.8
Willard,2003-03-14,6.4,5.1
Shaft,2019-06-14,3.4,9.4
Horsemen,2009-03-06,1.7,2.5
See No Evil,2006-05-19,1.0,5.0
Believe in Me,2007-03-09,6.0,7.4
Mary Queen of Scots,2018-12-21,6.2,4.1
Getaway,2013-08-30,0.3,3.6
Pink Flamingos,1997-04-11,8.4,7.2
The Man,2005-09-09,1.2,4.1
The Last House on the Left,2009-03-13,4.3,5.2
Solaris,2002-11-27,6.6,5.9
The Mechanic,2011-01-28,5.3,5.1
The Mechanic,2011-01-28,5.3,5.1
Sleuth,2007-10-12,3.6,5.1
Child's Play,1988-11-09,7.4,6.5
Getaway,2013-08-30,0.3,3.6
The Heartbreak Kid,2007-10-05,2.9,3.7
Walking Tall,2004-04-02,2.6,5.9
Charlotte's Web,2006-12-15,7.9,6.2
Slither,2006-03-31,8.7,6.3
The Outfit,1974-05-27,8.0,7.3
Homecoming,2009-07-17,0.0,3.3
The Wicker Man,2006-09-01,1.5,1.7
The Wicker Man,2006-09-01,1.5,1.7
Amarcord,1974-09-19,8.7,9.0
The Towering Inferno,1974-12-14,6.8,7.2
Young Frankenstein,1974-12-15,9.5,9.2
Earthquake,1974-11-15,4.4,3.6
"The Godfather, Part II",1974-12-12,9.6,9.7
The Longest Yard,2005-05-27,3.1,6.2
The Longest Yard,2005-05-27,3.1,6.2
Murder on the Orient Express,1974-11-24,9.0,7.8
Godzilla vs. Mechagodzilla,1974-03-21,8.6,6.3
Conrack,1974-03-27,6.9,7.9
Mame,1974-03-07,3.6,4.8
The Night Porter,1974-10-01,6.7,6.8
The Night Porter,1974-10-01,6.7,6.8
Foxy Brown,1974-04-05,6.4,6.6
The Conversation,1974-04-07,9.7,8.9
The Conversation,1974-04-07,9.7,8.9
Lovin' Molly,1974-04-14,4.0,1.4
Claudine,1974-04-22,6.7,9.1
Frankenstein and the Monster From Hell,1974-05-02,6.3,4.8
Stavisky,1974-05-15,8.5,6.0
Alice in the Cities,1977-04-28,10.0,9.1
That's Entertainment!,1974-05-23,10.0,8.6
Daisy Miller,1974-05-22,6.9,3.2
Thunderbolt and Lightfoot,1974-05-23,8.9,7.3
The Parallax View,1974-06-14,8.7,7.8
Chinatown,1974-06-20,9.8,9.3
The Groove Tube,1974-04-19,1.4,5.9
Truck Turner,1974-04-19,6.0,7.3
The Take,2004-09-03,9.0,9.1
Death Wish,1974-07-24,6.6,6.9
Uptown Saturday Night,1974-06-16,7.0,7.9
California Split,1974-08-07,8.7,8.3
Macon County Line,1974-08-08,5.6,5.6
Harry and Tonto,1974-08-12,8.8,8.1
Bring Me the Head of Alfredo Garcia,1974-08-14,7.8,8.5
The Longest Yard,2005-05-27,3.1,6.2
The Longest Yard,2005-05-27,3.1,6.2
Big Bad Mama,1974-09-19,7.5,4.1
The Taking of Pelham One Two Three,1974-10-02,9.8,8.8
The Taking of Pelham One Two Three,1974-10-02,9.8,8.8
Female Trouble,1975-10-04,9.0,8.5
Black Christmas,2006-12-25,1.4,3.8
Benji,1974-10-17,8.6,5.5
Stardust,2007-08-10,7.7,8.6
Phantom of the Paradise,1974-10-31,8.2,8.4
The Four Musketeers,1975-02-26,7.7,7.4
Open Season,2006-09-29,4.9,5.7
Earthquake,1974-11-15,4.4,3.6
Lenny,1975-08-15,8.7,8.8
The Phantom of Liberty,1974-09-11,8.5,9.1
Murder on the Orient Express,1974-11-24,9.0,7.8
Alice Doesn't Live Here Anymore,1974-12-09,9.2,8.1
F for Fake,1976-01-30,8.8,8.8
The Towering Inferno,1974-12-14,6.8,7.2
Young Frankenstein,1974-12-15,9.5,9.2
Black Christmas,2006-12-25,1.4,3.8
"The Godfather, Part II",1974-12-12,9.6,9.7
Hearts and Minds,1975-11-17,9.1,9.0
The Island at the Top of the World,1974-12-20,5.0,4.7
The Island at the Top of the World,1974-12-20,5.0,4.7
The Man With the Golden Gun,1974-12-19,4.2,5.5
Freebie and the Bean,1974-12-25,2.3,6.7
Jaws,1975-06-20,9.7,9.0
One Flew Over the Cuckoo's Nest,1975-11-19,9.3,9.6
Shampoo,1975-02-11,6.8,5.6
Dog Day Afternoon,1975-09-21,9.6,9.0
The Return of the Pink Panther,1975-05-21,8.6,8.2
Three Days of the Condor,1975-09-24,8.7,8.2
The Rocky Horror Picture Show,1975-09-29,8.0,8.5
The Rocky Horror Picture Show,1975-09-29,8.0,8.5
Funny Lady,1975-03-15,3.0,5.5
Report to the Commissioner,1975-02-05,4.3,6.0
Shampoo,1975-02-11,6.8,5.6
The Stepford Wives,2004-06-11,2.6,3.0
Funny Lady,1975-03-15,3.0,5.5
The Great Waldo Pepper,1975-04-13,6.7,5.7
The Prisoner of Second Avenue,1975-03-14,4.4,6.7
The Prisoner of Second Avenue,1975-03-14,4.4,6.7
Rancho Deluxe,1975-03-14,7.3,4.0
Escape to Witch Mountain,1975-03-21,7.3,5.9
Brannigan,1975-03-21,2.5,4.0
"Sheba, Baby",1975-03-26,2.9,3.0
The Passenger,1975-02-28,8.8,8.4
Dolemite,1975-04-26,5.7,6.6
Monty Python and the Holy Grail,1975-04-01,9.6,9.5
The Switchblade Sisters,1996-06-15,5.6,7.0
Seven Beauties,1976-01-21,6.7,8.8
The Day of the Locust,1975-05-07,6.3,7.6
French Connection II,1975-05-21,8.2,6.2
The Return of the Pink Panther,1975-05-21,8.6,8.2
The Wind and the Lion,1975-05-22,6.3,6.9
The Wind and the Lion,1975-05-22,6.3,6.9
Love and Death,1975-06-10,10.0,9.0
Nashville,1975-06-11,8.9,8.4
Night Moves,1975-06-11,8.4,7.1
Bug,2007-05-25,6.1,3.4
The Devil's Rain,1975-08-07,1.7,3.4
Jaws,1975-06-20,9.7,9.0
Bite the Bullet,1975-06-20,7.3,5.4
Cooley High,1975-01-01,8.9,8.9
Rollerball,1975-01-01,6.7,6.2
The Apple Dumpling Gang,1975-07-01,5.6,6.0
Bucktown,1975-07-02,4.0,5.1
White Line Fever,1975-07-16,2.9,5.5
Dersu Uzala,1975-01-01,7.3,9.4
The Rocky Horror Picture Show,1975-09-29,8.0,8.5
The Rocky Horror Picture Show,1975-09-29,8.0,8.5
"Give 'Em Hell, Harry!",1975-09-18,10.0,8.2
Dog Day Afternoon,1975-09-21,9.6,9.0
Three Days of the Condor,1975-09-24,8.7,8.2
Mahogany,1975-10-08,2.9,7.5
Lisztomania,1975-10-10,4.6,6.0
Rooster Cogburn,1975-10-17,4.5,7.0
Hester Street,1976-08-24,7.9,6.8
The Sunshine Boys,1975-12-16,7.1,7.2
The Sunshine Boys,1975-12-16,7.1,7.2
Stardust,2007-08-10,7.7,8.6
The Human Factor,1979-12-18,3.3,2.8
The Human Factor,1979-12-18,3.3,2.8
One Flew Over the Cuckoo's Nest,1975-11-19,9.3,9.6
Peeper,1975-12-03,2.2,4.7
The Adventure of Sherlock Holmes' Smarter Brother,1975-12-14,5.6,5.7
Barry Lyndon,1975-12-18,8.7,9.2
The Man Who Would Be King,1975-12-17,9.7,9.0
Killer Elite,2011-09-23,2.8,4.2
The Story of Adele H,1975-10-08,9.3,8.0
The Story of Adele H,1975-10-08,9.3,8.0
The Black Bird,1975-12-25,2.7,5.0
A Star Is Born,2018-10-05,9.0,8.0
King Kong,2005-12-14,8.4,5.0
All the President's Men,1976-01-01,9.4,9.2
The Omen,2006-06-06,2.6,4.0
The Enforcer,1976-12-22,6.9,5.9
Midway,1976-06-18,4.1,7.1
Bad News Bears,2005-07-22,4.8,4.6
Taxi Driver,1976-02-08,8.9,9.3
Grey Gardens,1975-09-27,9.4,8.5
The First Nudie Musical,1976-03-03,8.6,5.1
The First Nudie Musical,1976-03-03,8.6,5.1
The Man Who Fell to Earth,1976-05-28,7.9,6.9
The Duchess and the Dirtwater Fox,1976-04-01,5.0,5.5
Lipstick,1976-04-02,1.8,3.5
Bad News Bears,2005-07-22,4.8,4.6
All the President's Men,1976-01-01,9.4,9.2
Family Plot,1976-04-09,9.3,6.2
Stay Hungry,1976-04-23,6.7,4.0
The Missouri Breaks,1976-05-19,7.9,6.0
Premonition,2007-03-16,0.8,5.0
1900,1976-08-15,5.0,8.4
"Won Ton Ton, the Dog Who Saved Hollywood",1976-05-26,1.4,6.0
The Tenant,1976-05-26,8.4,8.7
Silent Movie,1976-06-16,7.9,7.2
The Food of the Gods,1976-06-18,1.8,2.6
The Food of the Gods,1976-06-18,1.8,2.6
Midway,1976-06-18,4.1,7.1
Logan's Run,1976-01-23,5.8,6.7
Murder by Death,1976-06-23,6.8,8.2
Buffalo Bill and the Indians,1976-05-24,6.5,4.8
The Omen,2006-06-06,2.6,4.0
The Outlaw Josey Wales,1976-06-30,9.1,9.1
The Outlaw Josey Wales,1976-06-30,9.1,9.1
Cannonball,1976-07-06,0.0,3.5
Lifeguard,1976-07-23,4.7,7.2
Drum,1976-07-30,1.1,5.3
Squirm,1976-07-30,2.7,2.7
The Ritz,1976-08-12,6.7,7.9
The Shootist,1976-08-11,8.1,8.8
J.D.'s Revenge,1976-08-25,5.0,6.1
In the Realm of the Senses,1977-04-01,8.5,6.4
Bugsy Malone,1976-09-15,7.9,8.0
The Front,1976-09-17,6.9,7.4
Norman... Is That You?,1976-09-29,4.0,7.0
Marathon Man,1976-10-06,8.1,8.1
The Killer Inside Me,2010-06-18,5.6,4.0
The Song Remains the Same,1976-10-21,7.5,8.7
Car Wash,1976-10-22,8.6,6.0
God Told Me To,1979-07-11,8.0,5.1
Up,2009-05-29,9.8,9.0
The Seven-Per-Cent Solution,1976-10-24,7.2,6.8
Carrie,2013-10-18,5.0,4.4
Assault on Precinct 13,2005-01-19,6.0,4.8
"Alice, Sweet Alice",1976-11-13,7.7,6.1
The Last Tycoon,1976-11-19,3.3,4.0
Network,1976-11-27,9.1,9.3
Bound for Glory,1976-12-05,8.1,7.6
A Star Is Born,2018-10-05,9.0,8.0
The Pink Panther Strikes Again,1976-12-17,7.2,8.4
The Shaggy D.A.,1976-12-17,5.0,4.4
Freaky Friday,2003-08-06,8.8,5.8
King Kong,2005-12-14,8.4,5.0
The Cassandra Crossing,1977-02-09,3.6,5.2
The Cassandra Crossing,1977-02-09,3.6,5.2
Mikey and Nicky,1976-12-21,8.8,7.8
The Enforcer,1976-12-22,6.9,5.9
Voyage of the Damned,1976-12-22,7.7,5.2
The Town That Dreaded Sundown,2014-10-16,6.6,4.0
The Town That Dreaded Sundown,1976-12-24,4.2,4.0
Star Wars: Episode IV - A New Hope,1977-05-25,9.3,9.6
Smokey and the Bandit,1977-05-27,7.2,8.5
Close Encounters of the Third Kind,1977-11-16,9.0,8.5
Saturday Night Fever,1977-12-16,8.2,7.1
The Goodbye Girl,1977-11-30,8.0,8.5
The Deep,1977-06-17,4.2,3.8
The Deep,1977-06-17,4.2,3.8
The Spy Who Loved Me,1977-08-03,8.2,7.7
"Oh, God!",1977-10-07,7.5,5.9
Annie Hall,1977-01-01,9.7,9.2
The Sentinel,2006-04-21,3.5,4.1
Pumping Iron,1977-01-18,9.2,8.4
Providence,1977-02-09,7.3,8.6
The Late Show,1977-02-10,9.5,7.7
The Late Show,1977-02-10,9.5,7.7
Fun With Dick and Jane,2005-12-21,2.9,4.9
Twilight's Last Gleaming,1977-02-09,8.0,7.3
Wizards,1977-03-02,6.2,6.9
Slap Shot,1977-02-25,8.5,8.8
Airport '77,1977-03-11,4.0,3.2
Eraserhead,1977-03-17,8.9,8.2
Rabid,1977-04-08,7.8,4.6
Annie Hall,1977-01-01,9.7,9.2
3 Women,1977-04-10,8.5,8.6
Between the Lines,1977-04-27,9.4,5.2
The Man Who Loved Women,1977-04-27,8.2,8.5
Cross of Iron,1977-01-28,7.1,8.7
Star Wars: Episode IV - A New Hope,1977-05-25,9.3,9.6
Desperate Living,1977-05-27,7.0,8.0
